iter	Passed	Remaining
0	1	147
1	2	132
2	3	124
3	4	114
4	5	113
5	7	114
6	8	112
7	9	110
8	10	108
9	11	107
10	13	106
11	15	110
12	16	110
13	17	108
14	18	106
15	19	104
16	21	103
17	22	102
18	23	100
19	24	99
20	25	97
21	27	95
22	28	94
23	29	92
24	30	91
25	31	90
26	32	88
27	34	87
28	35	86
29	36	84
30	37	83
31	38	82
32	39	80
33	41	80
34	42	78
35	43	77
36	44	76
37	46	75
38	47	74
39	48	73
40	50	72
41	50	69
42	51	68
43	53	67
44	54	66
45	55	65
46	56	64
47	58	62
48	59	61
49	60	60
50	61	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	53
56	69	52
57	70	50
58	71	49
59	72	48
60	74	47
61	75	46
62	76	45
63	78	43
64	79	42
65	80	41
66	81	40
67	83	39
68	84	37
69	85	36
70	86	35
71	88	34
72	89	33
73	90	31
74	91	30
75	93	29
76	94	28
77	95	26
78	97	25
79	98	24
80	100	23
81	101	22
82	102	21
83	104	19
84	105	18
85	107	17
86	108	16
87	109	14
88	111	13
89	112	12
90	113	11
91	114	9
92	116	8
93	117	7
94	118	6
95	120	5
96	121	3
97	122	2
98	123	1
99	124	0
