iter	Passed	Remaining
0	1	1964
1	3	1557
2	4	1411
3	5	1332
4	6	1349
5	7	1317
6	9	1278
7	10	1263
8	11	1249
9	12	1239
10	13	1238
11	15	1294
12	16	1287
13	18	1274
14	19	1260
15	20	1260
16	21	1252
17	22	1243
18	23	1234
19	25	1227
20	26	1221
21	27	1215
22	28	1218
23	30	1232
24	31	1227
25	32	1223
26	35	1265
27	36	1258
28	37	1252
29	38	1246
30	39	1239
31	40	1234
32	41	1227
33	43	1229
34	44	1237
35	46	1232
36	47	1230
37	48	1226
38	50	1234
39	51	1231
40	53	1248
41	55	1259
42	56	1257
43	60	1307
44	61	1310
45	62	1303
46	64	1306
47	65	1308
48	67	1306
49	68	1304
50	69	1300
51	71	1294
52	73	1305
53	75	1324
54	77	1324
55	80	1350
56	81	1343
57	82	1336
58	83	1330
59	85	1335
60	86	1330
61	89	1360
62	91	1358
63	92	1354
64	94	1358
65	95	1354
66	97	1350
67	98	1345
68	99	1340
69	100	1336
70	102	1338
71	104	1352
72	106	1348
73	107	1344
74	109	1345
75	110	1343
76	111	1338
77	112	1333
78	114	1329
79	115	1324
80	117	1328
81	119	1333
82	119	1323
83	121	1319
84	122	1315
85	124	1320
86	125	1315
87	126	1309
88	127	1304
89	128	1298
90	129	1293
91	130	1289
92	132	1289
93	133	1289
94	134	1285
95	135	1279
96	137	1278
97	138	1277
98	139	1272
99	140	1268
100	141	1263
101	143	1259
102	144	1255
103	145	1251
104	148	1263
105	149	1259
106	150	1254
107	151	1250
108	152	1248
109	153	1243
110	154	1238
111	155	1235
112	156	1231
113	158	1228
114	159	1223
115	160	1221
116	161	1217
117	162	1217
118	163	1213
119	164	1209
120	166	1207
121	167	1203
122	168	1199
123	169	1195
124	170	1191
125	171	1188
126	172	1183
127	173	1181
128	174	1178
129	175	1177
130	177	1175
131	178	1172
132	179	1169
133	180	1166
134	181	1163
135	182	1160
136	183	1156
137	184	1154
138	186	1152
139	187	1150
140	188	1146
141	189	1143
142	191	1146
143	192	1143
144	193	1140
145	194	1137
146	196	1137
147	197	1135
148	198	1132
149	199	1130
150	200	1127
151	201	1124
152	202	1120
153	203	1117
154	205	1117
155	206	1115
156	207	1112
157	208	1109
158	209	1107
159	211	1109
160	212	1105
161	213	1102
162	214	1099
163	215	1096
164	216	1093
165	217	1091
166	219	1092
167	220	1092
168	221	1090
169	222	1088
170	224	1086
171	225	1085
172	226	1083
173	227	1081
174	228	1078
175	229	1076
176	231	1074
177	232	1072
178	234	1073
179	235	1071
180	236	1070
181	237	1067
182	238	1065
183	239	1063
184	240	1061
185	241	1058
186	242	1056
187	244	1053
188	245	1051
189	245	1048
190	247	1047
191	249	1050
192	250	1048
193	251	1046
194	253	1045
195	254	1043
196	255	1041
197	256	1039
198	257	1036
199	258	1034
200	259	1031
201	260	1029
202	262	1029
203	263	1029
204	265	1027
205	266	1026
206	267	1024
207	269	1024
208	270	1022
209	271	1020
210	272	1018
211	273	1015
212	274	1013
213	275	1012
214	277	1013
215	278	1011
216	279	1009
217	280	1007
218	282	1005
219	283	1004
220	284	1002
221	285	999
222	286	998
223	287	996
224	288	993
225	289	992
226	291	992
227	293	992
228	294	990
229	295	988
230	296	986
231	297	986
232	299	984
233	300	982
234	301	980
235	302	978
236	303	976
237	304	975
238	306	976
239	307	974
240	308	972
241	309	970
242	310	968
243	312	968
244	313	966
245	314	963
246	315	961
247	316	959
248	317	957
249	318	956
250	320	957
251	321	955
252	322	953
253	324	952
254	325	950
255	326	948
256	327	946
257	328	944
258	329	942
259	330	940
260	331	938
261	332	936
262	333	934
263	335	935
264	337	934
265	338	933
266	339	931
267	340	929
268	341	928
269	342	926
270	343	925
271	344	923
272	345	921
273	347	919
274	348	918
275	350	920
276	351	918
277	352	915
278	353	914
279	354	912
280	356	911
281	357	910
282	358	908
283	359	906
284	360	904
285	361	903
286	363	902
287	365	903
288	366	901
289	367	899
290	368	898
291	369	896
292	371	896
293	372	894
294	373	892
295	374	890
296	375	889
297	377	888
298	378	888
299	380	887
300	381	885
301	382	883
302	383	882
303	384	881
304	385	879
305	386	877
306	388	875
307	389	874
308	390	872
309	391	870
310	392	869
311	394	869
312	395	867
313	396	865
314	397	863
315	398	861
316	399	861
317	400	859
318	401	857
319	402	856
320	403	854
321	404	852
322	406	851
323	407	850
324	408	849
325	409	847
326	411	845
327	412	844
328	413	843
329	414	841
330	415	839
331	416	837
332	417	836
333	418	834
334	419	833
335	421	832
336	422	831
337	423	830
338	424	828
339	425	826
340	427	825
341	428	823
342	429	822
343	430	820
344	431	819
345	432	817
346	433	815
347	435	815
348	436	814
349	437	813
350	438	811
351	439	809
352	441	808
353	442	807
354	443	805
355	444	804
356	445	802
357	446	800
358	447	798
359	448	797
360	449	796
361	451	796
362	452	794
363	454	793
364	455	791
365	456	791
366	457	789
367	458	787
368	459	786
369	460	784
370	461	783
371	463	781
372	464	781
373	466	780
374	467	778
375	468	777
376	469	776
377	472	777
378	473	775
379	474	773
380	475	772
381	476	770
382	477	769
383	479	769
384	481	768
385	482	767
386	483	765
387	484	764
388	485	763
389	487	762
390	488	760
391	489	759
392	490	757
393	491	755
394	493	755
395	494	754
396	495	752
397	496	751
398	497	749
399	499	748
400	500	747
401	501	746
402	502	744
403	503	743
404	504	741
405	505	739
406	507	739
407	508	738
408	509	736
409	510	735
410	511	733
411	513	732
412	514	730
413	515	729
414	516	727
415	517	725
416	518	724
417	519	723
418	520	722
419	522	721
420	523	720
421	525	719
422	526	717
423	527	716
424	528	715
425	529	713
426	530	712
427	531	710
428	532	708
429	533	707
430	534	705
431	536	704
432	537	704
433	538	702
434	539	701
435	540	699
436	541	698
437	543	696
438	544	695
439	545	693
440	546	692
441	547	690
442	547	689
443	549	687
444	550	686
445	551	685
446	553	684
447	554	682
448	555	681
449	556	680
450	557	678
451	558	677
452	559	675
453	560	674
454	561	672
455	562	671
456	564	670
457	565	669
458	566	667
459	567	666
460	568	665
461	570	664
462	571	662
463	572	660
464	573	659
465	574	658
466	575	656
467	576	655
468	577	653
469	578	652
470	579	651
471	581	650
472	582	649
473	583	648
474	585	647
475	586	645
476	587	644
477	588	642
478	589	641
479	591	640
480	592	639
481	593	637
482	594	636
483	595	635
484	596	633
485	598	632
486	599	631
487	600	629
488	601	628
489	602	626
490	603	625
491	604	623
492	605	622
493	606	621
494	607	620
495	609	618
496	610	617
497	611	616
498	612	614
499	613	613
500	614	612
501	615	610
502	616	609
503	617	607
504	618	606
505	619	605
506	620	603
507	621	602
508	623	601
509	624	600
510	625	598
511	626	597
512	627	595
513	628	594
514	629	592
515	630	591
516	631	590
517	633	589
518	634	587
519	635	586
520	636	584
521	637	584
522	638	582
523	639	581
524	641	579
525	642	578
526	643	577
527	644	576
528	645	574
529	646	573
530	647	572
531	648	570
532	649	569
533	651	568
534	652	566
535	653	565
536	654	564
537	655	562
538	656	561
539	658	560
540	659	559
541	660	557
542	661	556
543	662	555
544	663	553
545	664	552
546	665	551
547	667	550
548	668	548
549	669	547
550	670	546
551	671	545
552	672	543
553	673	542
554	674	540
555	675	539
556	676	538
557	677	536
558	678	535
559	679	533
560	680	532
561	681	531
562	682	529
563	683	528
564	684	527
565	685	525
566	686	524
567	687	523
568	688	521
569	690	520
570	690	519
571	691	517
572	692	516
573	693	514
574	695	513
575	696	512
576	697	511
577	698	509
578	699	508
579	700	507
580	701	505
581	702	504
582	702	502
583	703	501
584	704	499
585	705	498
586	706	497
587	707	495
588	708	494
589	710	493
590	711	492
591	711	490
592	712	489
593	713	487
594	714	486
595	715	485
596	716	483
597	717	482
598	718	481
599	719	479
600	720	478
601	721	476
602	722	475
603	723	474
604	724	473
605	725	471
606	726	470
607	727	469
608	728	467
609	729	466
610	730	465
611	731	463
612	732	462
613	733	461
614	734	459
615	735	458
616	736	456
617	737	455
618	738	454
619	739	453
620	740	451
621	741	450
622	742	449
623	744	448
624	745	447
625	745	445
626	746	444
627	747	442
628	748	441
629	749	440
630	750	438
631	751	437
632	752	436
633	753	435
634	754	433
635	755	432
636	756	431
637	757	429
638	758	428
639	759	427
640	760	425
641	761	424
642	762	423
643	763	421
644	764	420
645	765	419
646	765	417
647	767	416
648	768	415
649	769	414
650	770	412
651	771	411
652	772	410
653	773	409
654	774	407
655	774	406
656	775	405
657	776	403
658	777	402
659	778	401
660	779	399
661	780	398
662	782	397
663	783	396
664	784	395
665	785	393
666	786	392
667	787	391
668	787	389
669	788	388
670	789	387
